Symbol,Company Name,Exchange
RELIANCE,Reliance Industries Limited,NSE
TCS,Tata Consultancy Services Limited,NSE
HDFCBANK,HDFC Bank Limited,NSE
BHARTIARTL,Bharti Airtel Limited,NSE
ICICIBANK,ICICI Bank Limited,NSE
INFY,Infosys Limited,NSE
SBIN,State Bank of India,NSE
ITC,ITC Limited,NSE
LICI,Life Insurance Corporation of India,NSE
HINDUNILVR,Hindustan Unilever Limited,NSE
HCLTECH,HCL Technologies Limited,NSE
LT,Larsen & Toubro Limited,NSE
SUNPHARMA,Sun Pharmaceutical Industries Limited,NSE
BAJFINANCE,Bajaj Finance Limited,NSE
KOTAKBANK,Kotak Mahindra Bank Limited,NSE
MARUTI,Maruti Suzuki India Limited,NSE
AXISBANK,Axis Bank Limited,NSE
ULTRACEMCO,UltraTech Cement Limited,NSE
M&M,Mahindra & Mahindra Limited,NSE
NTPC,NTPC Limited,NSE
WIPRO,Wipro Limited,NSE
ONGC,Oil and Natural Gas Corporation Limited,NSE
TITAN,Titan Company Limited,NSE
POWERGRID,Power Grid Corporation of India Limited,NSE
HAL,Hindustan Aeronautics Limited,NSE
ADANIENT,Adani Enterprises Limited,NSE
TATAMOTORS,Tata Motors Limited,NSE
ADANIPORTS,Adani Ports and Special Economic Zone Limited,NSE
BAJAJFINSV,Bajaj Finserv Ltd.,NSE
ZOMATO,Zomato Limited,NSE
SIEMENS,Siemens Limited,NSE
TRENT,Trent Limited,NSE
COALINDIA,Coal India Limited,NSE
JSWSTEEL,JSW Steel Limited,NSE
DMART,Avenue Supermarts Limited,NSE
ASIANPAINT,Asian Paints Limited,NSE
BEL,Bharat Electronics Limited,NSE
NESTLEIND,Nestl̩ India Limited,NSE
VBL,Varun Beverages Limited,NSE
DLF,DLF Limited,NSE
HINDZINC,Hindustan Zinc Limited,NSE
IRFC,Indian Railway Finance Corporation Limited,NSE
JIOFIN,Jio Financial Services Limited,NSE
ADANIPOWER,Adani Power Limited,NSE
IOC,Indian Oil Corporation Limited,NSE
VEDL,Vedanta Limited,NSE
TATASTEEL,Tata Steel Limited,NSE
LTIM,LTIMindtree Limited,NSE
INDIGO,InterGlobe Aviation Limited,NSE
GRASIM,Grasim Industries Limited,NSE
ADANIGREEN,Adani Green Energy Limited,NSE
DIVISLAB,Divi's Laboratories Limited,NSE
PIDILITIND,Pidilite Industries Limited,NSE
PFC,Power Finance Corporation Limited,NSE
TECHM,Tech Mahindra Limited,NSE
ABB,ABB India Limited,NSE
HYUNDAI,Hyundai Motor India Limited,NSE
SBILIFE,SBI Life Insurance Company Limited,NSE
LODHA,Macrotech Developers Limited,NSE
HINDALCO,Hindalco Industries Limited,NSE
AMBUJACEM,Ambuja Cements Limited,NSE
RECLTD,REC Limited,NSE
HDFCLIFE,HDFC Life Insurance Company Limited,NSE
SWIGGY,Swiggy Limited,NSE
EICHERMOT,Eicher Motors Limited,NSE
TATAPOWER,The Tata Power Company Limited,NSE
GAIL,GAIL (India) Limited,NSE
BPCL,Bharat Petroleum Corporation Limited,NSE
BANKBARODA,Bank of Baroda Limited,NSE
INDHOTEL,The Indian Hotels Company Limited,NSE
BAJAJHLDNG,Bajaj Holdings & Investment Limited,NSE
CIPLA,Cipla Limited,NSE
JSWENERGY,JSW Energy Limited,NSE
TORNTPHARM,Torrent Pharmaceuticals Limited,NSE
PNB,Punjab National Bank,NSE
TVSMOTOR,TVS Motor Company Limited,NSE
MAXHEALTH,Max Healthcare Institute Limited,NSE
BRITANNIA,Britannia Industries Limited,NSE
MANKIND,Mankind Pharma Limited,NSE
DRREDDY,Dr. Reddy's Laboratories Limited,NSE
CGPOWER,CG Power and Industrial Solutions Limited,NSE
NAUKRI,Info Edge (India) Limited,NSE
UNITDSPR,United Spirits Limited,NSE
MOTHERSON,Samvardhana Motherson International Limited,NSE
GODREJCP,Godrej Consumer Products Limited,NSE
SHRIRAMFIN,Shriram Finance Limited,NSE
POLYCAB,Polycab India Limited,NSE
DIXON,Dixon Technologies (India) Limited,NSE
OFSS,Oracle Financial Services Software Limited,NSE
BAJAJHFL,Bajaj Housing Finance Limited,NSE
APOLLOHOSP,Apollo Hospitals Enterprise Limited,NSE
HAVELLS,Havells India Limited,NSE
BOSCHLTD,Bosch Limited,NSE
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,NSE
IOB,Indian Overseas Bank,NSE
LUPIN,Lupin Limited,NSE
ZYDUSLIFE,Zydus Lifesciences Limited,NSE
SHREECEM,Shree Cement Limited,NSE
POLICYBZR,PB Fintech Limited,NSE
MAZDOCK,Mazagon Dock Shipbuilders Limited,NSE
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,NSE
ICICIGI,ICICI Lombard General Insurance Company Limited,NSE
PERSISTENT,Persistent Systems Limited,NSE
JINDALSTEL,Jindal Steel & Power Limited,NSE
ADANIENSOL,Adani Energy Solutions Limited,NSE
CUMMINSIND,Cummins India Limited,NSE
HDFCAMC,HDFC Asset Management Company Limited,NSE
CANBK,Canara Bank,NSE
RVNL,Rail Vikas Nigam Limited,NSE
UNIONBANK,Union Bank of India,NSE
DABUR,Dabur India Limited,NSE
INDUSTOWER,Indus Towers Limited,NSE
SOLARINDS,Solar Industries India Limited,NSE
TATACONSUM,Tata Consumer Products Limited,NSE
GICRE,General Insurance Corporation of India,NSE
SUZLON,Suzlon Energy Limited,NSE
HEROMOTOCO,Hero MotoCorp Limited,NSE
GODREJPROP,Godrej Properties Limited,NSE
HINDPETRO,Hindustan Petroleum Corporation Limited,NSE
MUTHOOTFIN,Muthoot Finance Limited,NSE
GMRAIRPORT,GMR Airports Limited,NSE
BHEL,Bharat Heavy Electricals Limited,NSE
NHPC,NHPC Limited,NSE
IDBI,IDBI Bank Limited,NSE
OBEROIRLTY,Oberoi Realty Limited,NSE
MARICO,Marico Limited,NSE
PRESTIGE,Prestige Estates Projects Limited,NSE
BSE,BSE Limited,NSE
BHARTIHEXA,Bharti Hexacom Limited,NSE
COLPAL,Colgate-Palmolive (India) Limited,NSE
TORNTPOWER,Torrent Power Limited,NSE
KALYANKJIL,Kalyan Jewellers India Limited,NSE
ATGL,Adani Total Gas Limited,NSE
INDUSINDBK,IndusInd Bank Limited,NSE
INDIANB,Indian Bank,NSE
AUROPHARMA,Aurobindo Pharma Limited,NSE
TIINDIA,Tube Investments of India Limited,NSE
OIL,Oil India Limited,NSE
SRF,SRF Limited,NSE
SBICARD,SBI Cards and Payment Services Limited,NSE
ALKEM,Alkem Laboratories Limited,NSE
ASHOKLEY,Ashok Leyland Limited,NSE
PATANJALI,Patanjali Foods Limited,NSE
JSWINFRA,JSW Infrastructure Limited,NSE
IRCTC,Indian Railway Catering & Tourism Corporation Limited,NSE
COFORGE,Coforge Limited,NSE
NMDC,NMDC Limited,NSE
YESBANK,Yes Bank Limited,NSE
SUPREMEIND,The Supreme Industries Limited,NSE
FACT,The Fertilisers and Chemicals Travancore Limited,NSE
ABBOTINDIA,Abbott India Limited,NSE
UNOMINDA,Uno Minda Limited,NSE
PAYTM,One97 Communications Limited,NSE
BHARATFORG,Bharat Forge Limited,NSE
LLOYDSME,Lloyds Metals and Energy Limited,NSE
JSL,Jindal Stainless Limited,NSE
PREMIERENE,Premier Energies Limited,NSE
PIIND,PI Industries Limited,NSE
PHOENIXLTD,The Phoenix Mills Limited,NSE
POWERINDIA,Hitachi Energy India Limited,NSE
MPHASIS,Mphasis Limited,NSE
VOLTAS,Voltas Limited,NSE
MOTILALOFS,Motilal Oswal Financial Services Limited,NSE
IREDA,Indian Renewable Energy Development Agency Limited,NSE
GET&D,GE Vernova T&D India Limited,NSE
GVT&D,GE Vernova T&D India Limited,NSE
PAGEIND,Page Industries Limited,NSE
MRF,MRF Limited,NSE
LINDEINDIA,Linde India Limited,NSE
COROMANDEL,Coromandel International Limited,NSE
BALKRISIND,Balkrishna Industries Limited,NSE
UBL,United Breweries Limited,NSE
UCOBANK,UCO Bank,NSE
THERMAX,Thermax Limited,NSE
BERGEPAINT,Berger Paints India Limited,NSE
SCHAEFFLER,Schaeffler India Limited,NSE
IDEA,Vodafone Idea Limited,NSE
FORTIS,Fortis Healthcare Limited,NSE
LTTS,L&T Technology Services Limited,NSE
PETRONET,Petronet LNG Limited,NSE
PGHH,Procter & Gamble Hygiene and Health Care Limited,NSE
TATACOMM,Tata Communications Limited,NSE
ABCAPITAL,Aditya Birla Capital Limited,NSE
360ONE,360 One Wam Limited,NSE
HUDCO,Housing and Urban Development Corporation Limited,NSE
SAIL,Steel Authority of India Limited,NSE
NYKAA,FSN E-Commerce Ventures Limited,NSE
CENTRALBK,Central Bank of India,NSE
FEDERALBNK,The Federal Bank Limited,NSE
FLUOROCHEM,Gujarat Fluorochemicals Limited,NSE
SUNDARMFIN,Sundaram Finance Limited,NSE
BANKINDIA,Bank of India Limited,NSE
CONCOR,Container Corporation of India Limited,NSE
KAYNES,Kaynes Technology India Limited,NSE
ASTRAL,Astral Limited,NSE
BDL,Bharat Dynamics Limited,NSE
IDFCFIRSTB,IDFC First Bank Limited,NSE
JUBLFOOD,Jubilant FoodWorks Limited,NSE
SJVN,SJVN Limited,NSE
GLENMARK,Glenmark Pharmaceuticals Limited,NSE
APLAPOLLO,APL Apollo Tubes Limited,NSE
TATAELXSI,Tata Elxsi Limited,NSE
MAHABANK,Bank of Maharashtra,NSE
CRISIL,CRISIL Limited,NSE
OLAELEC,Ola Electric Mobility Limited,NSE
BLUESTARCO,Blue Star Limited,NSE
BIOCON,Biocon Limited,NSE
IPCALAB,Ipca Laboratories Limited,NSE
AUBANK,AU Small Finance Bank Limited,NSE
APARINDS,APAR Industries Limited,NSE
NATIONALUM,National Aluminium Company Limited,NSE
KPITTECH,KPIT Technologies Limited,NSE
KPRMILL,K.P.R. Mill Limited,NSE
COCHINSHIP,Cochin Shipyard Limited,NSE
CDSL,Central Depository Services (India) Limited,NSE
ACC,ACC Limited,NSE
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,NSE
MFSL,Max Financial Services Limited,NSE
UPL,UPL Limited,NSE
AWL,Adani Wilmar Limited,NSE
GODREJIND,Godrej Industries Limited,NSE
KEI,KEI Industries Limited,NSE
SONACOMS,Sona BLW Precision Forgings Limited,NSE
HONAUT,Honeywell Automation India Limited,NSE
TATATECH,Tata Technologies Limited,NSE
EXIDEIND,Exide Industries Limited,NSE
AJANTPHARM,Ajanta Pharma Limited,NSE
DEEPAKNTR,Deepak Nitrite Limited,NSE
NIACL,The New India Assurance Company Limited,NSE
METROBRAND,Metro Brands Limited,NSE
ESCORTS,Escorts Kubota Limited,NSE
JKCEMENT,J.K. Cement Limited,NSE
3MINDIA,3M India Limited,NSE
GUJGASLTD,Gujarat Gas Limited,NSE
SYNGENE,Syngene International Limited,NSE
DALBHARAT,Dalmia Bharat Limited,NSE
APOLLOTYRE,Apollo Tyres Limited,NSE
EMBASSY,Embassy Office Parks REIT,NSE
LTF,L&T Finance Limited,NSE
PPLPHARMA,Piramal Pharma Limited,NSE
RADICO,Radico Khaitan Limited,NSE
IRB,IRB Infrastructure Developers Limited,NSE
FIRSTCRY,Brainbees Solutions Limited,NSE
TATAINVEST,Tata Investment Corporation Limited,NSE
PSB,Punjab & Sind Bank,NSE
KEC,KEC International Limited,NSE
M&MFIN,Mahindra & Mahindra Financial Services Limited,NSE
ITI,ITI Limited,NSE
NLCINDIA,NLC India Limited,NSE
MCX,Multi Commodity Exchange of India Limited,NSE
LICHSGFIN,LIC Housing Finance Limited,NSE
MANYAVAR,Vedant Fashions Limited,NSE
AIAENG,AIA Engineering Limited,NSE
GODIGIT,Go Digit General Insurance Limited,NSE
ENDURANCE,Endurance Technologies Limited,NSE
GILLETTE,Gillette India Limited,NSE
JYOTICNC,Jyoti CNC Automation Limited,NSE
SUVENPHAR,Suven Pharmaceuticals Limited,NSE
BRIGADE,Brigade Enterprises Limited,NSE
LAURUSLABS,Laurus Labs Limited,NSE
ABFRL,Aditya Birla Fashion and Retail Limited,NSE
MEDANTA,Global Health Limited,NSE
JBCHEPHARM,J. B. Chemicals & Pharmaceuticals Limited,NSE
ABREL,Aditya Birla Real Estate Limited,NSE
GLAND,Gland Pharma Limited,NSE
AEGISLOG,Aegis Logistics Limited,NSE
ANANTRAJ,Anant Raj Limited,NSE
AIIL,Authum Investment & Infrastructure Limited,NSE
STARHEALTH,Star Health and Allied Insurance Company Limited,NSE
GODFRYPHLP,Godfrey Phillips India Limited,NSE
SUNTV,Sun TV Network Limited,NSE
IGL,Indraprastha Gas Limited,NSE
ISEC,ICICI Securities Limited,NSE
HSCL,Himadri Speciality Chemical Limited,NSE
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,NSE
MSUMI,Motherson Sumi Wiring India Limited,NSE
BAYERCROP,Bayer CropScience Limited,NSE
POLYMED,Poly Medicure Limited,NSE
HINDCOPPER,Hindustan Copper Limited,NSE
SUMICHEM,Sumitomo Chemical India Limited,NSE
TATACHEM,Tata Chemicals Limited,NSE
NH,Narayana Hrudayalaya Limited,NSE
EMCURE,Emcure Pharmaceuticals Limited,NSE
ANGELONE,Angel One Limited,NSE
DELHIVERY,Delhivery Limited,NSE
EIHOTEL,EIH Limited,NSE
EMAMILTD,Emami Limited,NSE
BANDHANBNK,Bandhan Bank Limited,NSE
NBCC,NBCC (India) Limited,NSE
NATCOPHARM,NATCO Pharma Limited,NSE
CARBORUNIV,Carborundum Universal Limited,NSE
CROMPTON,Crompton Greaves Consumer Electricals Limited,NSE
MRPL,Mangalore Refinery and Petrochemicals Limited,NSE
KFINTECH,KFin Technologies Limited,NSE
POONAWALLA,Poonawalla Fincorp Limited,NSE
BASF,BASF India Limited,NSE
FSL,Firstsource Solutions Limited,NSE
PEL,Piramal Enterprises Limited,NSE
WHIRLPOOL,Whirlpool of India Limited,NSE
NUVAMA,Nuvama Wealth Management Limited,NSE
INOXWIND,Inox Wind Limited,NSE
LALPATHLAB,Dr. Lal PathLabs Limited,NSE
CAMS,Computer Age Management Services Limited,NSE
TIMKEN,Timken India Limited,NSE
CESC,CESC Limited,NSE
AFFLE,Affle (India) Limited,NSE
